,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,minus_log10_padj,significant
ENST00000946511,17.7494305274873,-4.68434526844592,1.27309300572349,-3.67949964958281,0.0002336920105058,0.0230207620559599,GABPB1-234,1.637880304024194,True
ENST00000878480,92.1246637184807,9.96585594541798,1.32536065404695,7.51935400752055,5.50475482393604e-14,1.23492176905314e-10,NUCB1-234,9.908360553614568,True
ENST00000894417,22.3071209508422,7.91919066743766,1.89814309798872,4.17207252489493,3.01841523001597e-05,0.0038712637735434,PSMD2-224,2.4121472364589853,True
ENST00000878950,32.2899890403441,-8.45871295413049,1.37007440906031,-6.17390770763469,6.662244072139511e-10,3.41786032226478e-07,FAM199X-203,6.46624568956998,True
ENST00000851047,8.55758937319525,-6.53744419559303,1.68223485828453,-3.88616616960346,0.0001018398093884,0.0110388030352296,SIRT2-219,1.9570780156808514,True
ENST00000864850,6.19752884727199,6.07212088783088,1.57168884905308,3.86343702284917,0.0001118027269377,0.0119822648864432,IDH3B-213,1.9214610838902833,True
ENST00000928950,14.3110708731549,-21.3778376474923,3.90990799523748,-5.46760631542531,4.56153614492278e-08,1.20596956538368e-05,USP54-250,4.918663652189822,True
ENST00000700177,12.415445098781,-7.07451599588514,1.44518921449106,-4.89521781988701,9.81969017443417e-07,0.0001870107009781,SATB1-219,3.72813354189787,True
ENST00000866367,22.9771538634228,-7.96668298150998,1.2865991950416,-6.19204722979199,5.93877496514349e-10,3.11082906515822e-07,SATB1-226,6.5071238519893635,True
ENST00000547650,21.6635448724276,7.88320266618626,1.48001968620388,5.32641743868014,1.0016877878952e-07,2.45069119996341e-05,BAZ2A-205,4.610711408699306,True
ENST00000958653,188.14207649323,-10.9996236934332,1.69072679606538,-6.50585518549257,7.72526202528746e-11,5.0369850069213e-08,IDH3G-220,7.297829341860382,True
ENST00000544539,8.3826270348882,6.51215390101519,1.424384245301,4.57190812275452,4.83302858375564e-06,0.0007624491422137,PHC1-213,3.1177891198402987,True
ENST00000884669,8.25190251976041,-6.48117355923285,1.60146626625649,-4.04702471465911,5.18727662148205e-05,0.0061247345793286,TRAM1-212,2.212912727082714,True
ENST00000881376,12.4191633617322,7.07507002507142,1.41848564968625,4.98776284880732,6.10824836162768e-07,0.0001224972189237,MAT2A-212,3.9118737710529286,True
ENST00000881361,158.545588301026,-10.7547839020744,1.92625196157308,-5.5832695393034,2.36038493114445e-08,7.54633307008087e-06,TIA1-224,5.1222640303958284,True
ENST00000881364,47.742542088081,9.01765922508473,1.39840199882587,6.44854572051254,1.12928497565269e-10,6.96533722452413e-08,TIA1-227,7.157057852505681,True
ENST00000406335,7.38112647276737,-6.32892492558918,1.55812278592034,-4.06189100292944,4.86768048414364e-05,0.0058411724496896,RHBDD3-202,2.233499971838882,True
ENST00000943113,259.817290864286,1.0820935149208,0.281253400972017,3.84739708455458,0.0001193793983145,0.0126711610116379,CDKN1A-236,1.8971835904956345,True
ENST00000687183,12.1042587603742,7.03796562246597,1.9044065383064,3.69562143423686,0.0002193496071327,0.0218292440981117,CYB5R3-213,1.660961302756403,True
